Log file created: Thu Sep 13 19:02:02 2018
-------------------------------------------
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN CIN Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN EI Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN YM Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN JSX Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS3 Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN RLA Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN ZPIC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117883      <140735666512768> <ALOG> <5> PIN Death PIN PS Death
Ticks = 1117884      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117884      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117884      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117884      <140735666512768> <ALOG> <5> PIN Death PIN MC Death
Ticks = 1117887      <123145424965632> <ALOG> <5> COR CORp_ShutdownPSL successfully shutdown AdobePSL
Ticks = 1117887      <140735666512768> <ALOG> <5> TXT Death TXT Death
Ticks = 1117887      <140735666512768> <ALOG> <5> TXT Death TXT_ShutdownGlobalDocumentResources called successfully.
Ticks = 1117888      <140735666512768> <ALOG> <5> TXT Death TXT_FontServer::FontServer ()->FreeFontServer() called successfully.
Ticks = 1117888      <140735666512768> <ALOG> <5> TXT Death SLO::FreeAutoPtrInternalMemory() called successfully.
Ticks = 1117888      <140735666512768> <ALOG> <5> TXT Death SLO::SLOTerminate () called successfully.
Ticks = 1117888      <140735666512768> <ALOG> <5> TXT Death COR_BIBCLIENTTERMINATE_IF_NEEDED called successfully.
Ticks = 1117888      <140735666512768> <ALOG> <5> TXT Death U_Context::UnregisterState(TXT_GlobalState::S_Name) called successfully.
Ticks = 1117888      <140735666512768> <ALOG> <5> P Death P Death
Ticks = 1117888      <140735666512768> <ALOG> <5> PF Death PF Death
Ticks = 1117888      <140735666512768> <ALOG> <5> TDB Death TDB Death
Ticks = 1117888      <140735666512768> <ALOG> <5> TDB Death TDB StreamBase Death
Ticks = 1117889      <140735666512768> <ALOG> <5> PLUG Death PLUG Death
Ticks = 1117896      <140735666512768> <ALOG> <5> MC Death MC Death
Ticks = 1117896      <140735666512768> <ALOG> <5> VAL Death VAL Death
Ticks = 1117896      <140735666512768> <ALOG> <5> PREF Death PREF Death
Ticks = 1117897      <140735666512768> <ALOG> <5> RND Death RND Death
Ticks = 1117897      <140735666512768> <ALOG> <5> M Death M Death
Ticks = 1117897      <140735666512768> <ALOG> <5> FILE Death FILE Death
Ticks = 1117897      <140735666512768> <ALOG> <5> U Death U Death
-------------------------------------------
Log file closed: Thu Sep 13 19:20:40 2018

