Log file created: Fri Dec  7 14:03:27 2018
Ticks = 103594      <123145543372800> <EncoderStateH264> <5> Found H/W codec for H.264 - Apple VideoToolBox Hardware Acceleration
Ticks = 162753      <123145543372800> <EncoderStateH264> <1> Encoded using H/W codec for H.264
Ticks = 162791      <123145543372800> <EncoderStateH264> <1> Time taken for; video =0 audio=646 mux=8
Ticks = 162793      <123145543372800> <ExporterHost::BeginThreadExport> <5> Exporter finished in : 59.2217 seconds. Result code: 0 Destination:/Users/graphic/Desktop/resume_AME/Resume.mp4
Ticks = 163519      <123145550348288> <PostProcessBaseUploader> <5> Page ID 
Ticks = 163524      <123145550348288> <PostProcessBaseUploader> <5> Page ID 
Ticks = 163526      <123145543372800> <ExporterMPEG4> <5> Looking for H/W codecs for H.264
Ticks = 163526      <123145543372800> <ExporterMPEG4.VideoToolbox> <5> Using Native HW encode (VT HW)
Ticks = 163561      <123145543372800> <EncoderStateH264> <5> Found H/W codec for H.264 - Apple VideoToolBox Hardware Acceleration
Ticks = 222677      <123145543372800> <EncoderStateH264> <1> Encoded using H/W codec for H.264
Ticks = 222711      <123145543372800> <EncoderStateH264> <1> Time taken for; video =0 audio=642 mux=5
Ticks = 222711      <123145543372800> <ExporterHost::BeginThreadExport> <5> Exporter finished in : 59.1854 seconds. Result code: 0 Destination:/Users/graphic/Desktop/resume_AME/Resume_1.mp4
Ticks = 345998      <4325537216> <NGL> <5> GoCart invocation failed: 4
Ticks = 396688      <4325537216> <AMEApp> <1> Exited RunEventLoop
Ticks = 396808      <4325537216> <ALOG> <5> U U_SetMemoryInUseAdjustment setting adjustment from -6038052864 to 0
Ticks = 396812      <4325537216> <BEE_WorkQueue> <5> BEE_WorkQueue_PreCloseProject start
Ticks = 396812      <4325537216> <BEE_WorkQueue> <5> BEE_WorkQueue_PreCloseProject end
Ticks = 396822      <4325537216> <ALOG> <5> MC MC_StopAllAsyncWork MC_StopAllAsyncWork
Ticks = 396825      <4325537216> <ALOG> <5> AEGPDriver Unload Skipping unloading of Anywhere
Ticks = 396827      <4325537216> <ALOG> <5> BEE Death BEE Death
Ticks = 396827      <4325537216> <ALOG> <5> BEE Command Set Scrap
Ticks = 396834      <4325537216> <ALOG> <5> PR Death PR Death
Ticks = 396834      <4325537216> <ALOG> <5> FLT Death FLT Death
Ticks = 396949      <4325537216> <ALOG> <5> OM Death OM Death
Ticks = 396950      <4325537216> <ALOG> <5> SND Death SND Death
Ticks = 396950      <4325537216> <ALOG> <5> PIN Death PIN Death
Ticks = 396950      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396952      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396952      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396952      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396952      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396952      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396952      <4325537216> <ALOG> <5> PIN Death PIN PS Death
Ticks = 396953      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396953      <4325537216> <ALOG> <5> PIN Death PIN MC Death
Ticks = 396953      <4325537216> <ALOG> <5> PIN Death PIN MC Death
