Log file created: Thu Oct  4 18:34:28 2018
Ticks = 677244      <140736177546112> <ALOG> <5> MC MC_StopAllAsyncWork MC_StopAllAsyncWork
Ticks = 677246      <140736177546112> <ALOG> <5> BEE Death BEE Death
Ticks = 677246      <140736177546112> <ALOG> <5> BEE Command Set Scrap
Ticks = 677253      <140736177546112> <ALOG> <5> PR Death PR Death
Ticks = 677253      <140736177546112> <ALOG> <5> FLT Death FLT Death
Ticks = 677366      <140736177546112> <ALOG> <5> OM Death OM Death
Ticks = 677366      <140736177546112> <ALOG> <5> SND Death SND Death
Ticks = 677366      <140736177546112> <ALOG> <5> PIN Death PIN Death
Ticks = 677366      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677367      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677367      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677367      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677367      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677367      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677367      <140736177546112> <ALOG> <5> PIN Death PIN PS Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN CIN Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN EI Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN PS Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN YM Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN PS Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN JSX Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677368      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN PS3 Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN RLA Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN PS Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN PS Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN ZPIC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN PS Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677369      <140736177546112> <ALOG> <5> PIN Death PIN MC Death
Ticks = 677375      <123145605980160> <ALOG> <5> COR CORp_ShutdownPSL successfully shutdown AdobePSL
Ticks = 677376      <140736177546112> <ALOG> <5> TXT Death TXT Death
Ticks = 677376      <140736177546112> <ALOG> <5> TXT Death TXT_ShutdownGlobalDocumentResources called successfully.
Ticks = 677376      <140736177546112> <ALOG> <5> TXT Death TXT_FontServer::FontServer ()->FreeFontServer() called successfully.
Ticks = 677376      <140736177546112> <ALOG> <5> TXT Death SLO::FreeAutoPtrInternalMemory() called successfully.
Ticks = 677377      <140736177546112> <ALOG> <5> TXT Death SLO::SLOTerminate () called successfully.
Ticks = 677378      <140736177546112> <ALOG> <5> TXT Death COR_BIBCLIENTTERMINATE_IF_NEEDED called successfully.
Ticks = 677378      <140736177546112> <ALOG> <5> TXT Death U_Context::UnregisterState(TXT_GlobalState::S_Name) called successfully.
Ticks = 677378      <140736177546112> <ALOG> <5> P Death P Death
Ticks = 677378      <140736177546112> <ALOG> <5> PF Death PF Death
Ticks = 677378      <140736177546112> <ALOG> <5> TDB Death TDB Death
Ticks = 677378      <140736177546112> <ALOG> <5> TDB Death TDB StreamBase Death
Ticks = 677378      <140736177546112> <ALOG> <5> PLUG Death PLUG Death
Ticks = 677395      <140736177546112> <ALOG> <5> MC Death MC Death
Ticks = 677396      <140736177546112> <ALOG> <5> VAL Death VAL Death
Ticks = 677396      <140736177546112> <ALOG> <5> PREF Death PREF Death
Ticks = 677396      <140736177546112> <ALOG> <5> RND Death RND Death
Ticks = 677396      <140736177546112> <ALOG> <5> M Death M Death
Ticks = 677396      <140736177546112> <ALOG> <5> FILE Death FILE Death
Ticks = 677397      <140736177546112> <ALOG> <5> U Death U Death
-------------------------------------------
Log file closed: Thu Oct  4 18:45:45 2018

